Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Tennis duration (ms),Weight lifting duration (ms),Other duration (ms)
2020-07-10,105,1877.0417022859044,6403.904243946075,46.0,43,79.37,79.37,79.37,,,,,,,,,,,,,,0.6791894933405118,2.7088232040405273,0.2423764318227768,9365,,,,,79771414,3534523,170172,,,,
2020-07-11,70,1825.5337228476744,4863.102623820305,37.0,34,60.91,60.91,60.91,,,,,,,,,,,,,,0.5281720595900868,2.3225631713867188,0.25044867396354675,7880,,,,,70264396,3162077,,,,,
2020-07-12,80,1914.3477170432034,5470.83217382431,45.0,45,115.67,115.67,115.67,,,,,,,,,,,,,,0.5426500181888012,1.8162637948989868,0.2587403357028961,8063,,,,,79608446,4662150,,,,,
2020-07-13,39,1711.61596352562,2015.2232488393784,7.0,7,,,,,,,,,,,,,,,,,0.6304524534731953,1.4294322729110718,0.2520143389701843,3399,,,,,83970745,1344021,,,,,
2020-07-14,54,1836.534480419167,3376.87579870224,25.0,25,,,,,,,,,,,,,,,,,0.5025668744712267,1.5773818492889404,0.2520143389701843,5268,,,,,82422235,3388573,,,,,
2020-07-15,80,1869.4893006011616,3928.3411972522736,14.0,14,,,,,,,,,,,,,,,,,0.6591575224347623,1.5759209394454956,0.2629714906215668,6254,,,,,80659701,3927946,,,,,
2020-07-16,116,2003.4853071332693,5724.506453990936,28.0,28,,,,,,,,,,,,,,,,,0.6434861130187176,1.4840548038482666,0.25017672777175903,9100,,,,,75542063,6121071,,,,,
2020-07-17,78,1870.738864317306,5080.311380028725,38.0,38,,,,,,,,,,,,,,,,,0.6320611282174067,1.5784282684326172,0.2819162607192993,7463,,,,,81983243,3948399,,,,,
2020-07-18,45,1739.3289956580904,3152.880937933922,23.0,23,,,,,,,,,,,,,,,,,0.6579565277815076,1.4712320566177368,0.2520143389701843,4996,,,,,81951745,1797603,,,,,
2020-07-19,20,1680.1656808869648,1595.1641302108765,16.0,11,78.44,78.44,78.44,,,,,,,,,,,,,,0.3874509964090826,2.29878830909729,0.2520143389701843,2364,,,,,85398686,791841,,,,,
2020-07-20,78,1889.2653843685657,5107.060769557953,36.0,33,139.22,139.22,139.22,,,,,,,,,,,,,,0.5587991868826321,2.6064984798431396,0.2629714906215668,7315,,,,,78487351,3111595,501278,,,,
2020-07-21,45,1778.764462311022,3399.2115573883057,29.0,27,148.03,148.03,148.03,,,,,,,,,,,,,,0.6702687946637758,2.2614712715148926,0.27392861247062683,4815,,,,,83821970,2440168,,,,,
2020-07-22,166,2169.7894531404463,9894.17057287693,82.0,82,120.03,120.03,120.03,,,,,,,,,,,,,,0.6502740272621769,1.7112888097763062,0.24655120074748993,14492,,,,900554,73622359,7880403,,,,,
2020-07-23,46,1770.4236434083928,1767.2182140350342,24.0,24,,,,,,,,,,,,,,,,,0.4959796868673095,1.601999044418335,0.27392861247062683,2818,,,,875957,83600671,1370241,,,,,
2020-07-24,106,1970.713789739784,6688.643921613693,54.0,51,68.79,68.79,68.79,,,,,,,,,,,,,,0.6982718601798169,2.701045036315918,0.2848857641220093,9637,,,,,76587042,4865381,275934,,,,
2020-07-25,35,1741.9980112365106,2273.9465333223343,15.0,15,,,,,,,,,,,,,,,,,0.802550256489663,1.6841570138931274,0.2780105769634247,3359,,,,,83752156,1841288,,,,,
2020-07-26,2,1629.4985961914065,158.9257035255432,,,,,,,,,,,,,,,,,,,0.3844098185431313,0.8672630190849304,0.2848857641220093,289,,,,,86400000,,,,,,
2020-07-27,61,1825.1584340765069,3568.702648639679,17.0,17,,,,,,,,,,,,,,,,,0.4383108061424784,1.5577776432037354,0.27392861247062683,5509,,,,,81696037,3202381,,,,,
2020-07-28,13,1699.5911849499023,743.124605178833,3.0,3,,,,,,,,,,,,,,,,,0.6738166012901039,2.721707820892334,0.2520143389701843,1010,,,,,85867454,50170,482376,,,,
2020-07-29,5,1629.4986262000762,298.6242048740387,,,,,,,,,,,,,,,,,,,0.80334659648651,1.0185372829437256,0.32871437072753906,801,,,,,86188463,,,,,,
2020-07-30,12,1667.7715608131525,463.84928607940674,,,,,,,,,,,,,,,,,,,0.359502368626704,1.1581203937530518,0.25165119767189026,781,,,,,85537845,626414,,,,,
2020-07-31,98,1889.623921153415,5912.835676431656,31.0,29,,,,,,,,,,,,,,,,,0.6127867125829013,2.826671600341797,0.24331188201904297,8698,,,,,79166779,3891469,115889,,,,
2020-08-01,54,1781.9594017305744,3121.898715376854,18.0,18,,,,,,,,,,,,,,,,,0.6738834369267904,1.6210618019104004,0.2958429157733917,5046,,,,,81772926,2495339,,,,,
2020-08-02,42,1744.578785463757,2778.5170335769653,25.0,25,,,,,,,,,,,,,,,,,0.5671835265605655,1.573851466178894,0.27392861247062683,3939,,,,,84347883,1883527,,,,,
2020-08-03,50,1806.4226850698578,3917.1367760896683,37.0,37,,,,,,,,,,,,,,,,,0.6034209756787235,1.581284999847412,0.2720502018928528,5454,,,,,82899721,2895731,,,,,
2020-08-04,21,1690.6816495666185,1272.9126629829407,5.0,5,,,,,,,,,,,,,,,,,0.5812077832333118,1.7598633766174316,0.2769578695297241,2163,,,,,83832526,1001388,,,,,
2020-08-05,28,1714.4223363766525,1345.0849792957306,5.0,5,,,,,,,,,,,,,,,,,0.7737406696380174,1.5132049322128296,0.2520143389701843,2273,,,,,84196546,1389939,,,,,
2020-08-06,15,1659.8501562625354,797.6931381225586,2.0,2,,,,,,,,,,,,,,,,,0.6590129376943965,1.5781058073043823,0.27392861247062683,1446,,,,,85321353,496767,,,,,
2020-08-07,76,1841.7867144988645,4424.658296108246,24.0,23,,,,,,,,,,,,,,,,,0.7852762516824682,2.5240159034729004,0.25290584564208984,6705,,,,,78949170,2807311,293384,,,,
2020-08-08,45,1812.4686871633985,1765.9936606884003,21.0,21,,,,,,,,,,,,,,,,,0.5729911748643283,1.4826055765151978,0.25191599130630493,2979,,,,841006,81995708,2095755,,,,,
2020-08-09,5,1631.794744938505,280.81148743629456,,,,,,,,,,,,,,,,,,,0.5558839200934407,0.9596841335296631,0.24827370047569275,666,,,,,85785475,37581,,,,,
2020-08-10,25,1698.7606007389904,1565.9296120405197,10.0,10,,,,,,,,,,,,,,,,,0.611532616575197,1.463178277015686,0.24663707613945007,2586,,,,,84136681,1133616,,,,,
2020-08-11,24,1671.3358350679248,1227.3092603683472,2.0,2,,,,,,,,,,,,,,,,,0.5371140018445324,1.511391282081604,0.2520143389701843,2065,,,,,85519754,684752,,,,,
2020-08-12,88,1900.5188725633675,5730.957697629929,41.0,40,,,,,,,,,,,,,,,,,0.8895399897953031,2.2035739421844482,0.2520143389701843,8102,,,,,78990379,4435810,,,,,
2020-08-13,65,1781.5388408342044,3087.3998918533325,9.0,9,,,,,,,,,,,,,,,,,0.6023177149382092,1.5310331583023071,0.24807071685791016,5044,,,,,81851167,2488455,,,,,
2020-08-14,42,1728.0577155960304,2612.4609427452087,19.0,17,,,,,,,,,,,,,,,,,0.497532651585581,2.256709098815918,0.2520143389701843,3990,,,,,81483892,1612247,,,,,
