,cycle_id,user_id_x,created_ts_x,updated_ts_x,cycle_start_ts,cycle_end_ts,timezone_offset,score_state_x,score_strain,score_kilojoule,score_avg_heart_rate,score_max_heart_rate,cycle_length_timedelta,cycle_length_hours,sleep_id,user_id_y,created_ts_y,updated_ts_y,score_state_y,user_calibrating,recovery_score,resting_heart_rate,hrv_rmssd_milli,spo2_percentage,skin_temp_celsius,total_strain,num_workouts,total_in_bed_time_hrs,avg_sleep_performance,total_light_sleep_time_hrs,total_rem_sleep_time_hrs,total_slow_wave_sleep_time_hrs,avg_respiratory_rate
11,684463672,12843267,2024-10-09 05:56:46.669000+00:00,2024-10-10 07:58:53.692000+00:00,2024-10-08 21:43:41.546000+00:00,2024-10-09 22:42:50.675000+00:00,+01:00,SCORED,13.241822,10657.375,71,166,1 days 00:59:09.129000,24.985869166666667,1271756538.0,12843267.0,2024-10-09 05:56:46.669000+00:00,2024-10-09 05:56:51.936000+00:00,SCORED,False,81.0,53.0,78.76603,94.0,32.37,16.7098,3.0,797.0630833333333,81.0,468.61333333333334,168.23180555555555,117.76119444444444,13.916016
12,683570992,12843267,2024-10-08 05:21:56.762000+00:00,2024-10-09 05:56:51.784000+00:00,2024-10-07 21:54:15.644000+00:00,2024-10-08 21:43:41.546000+00:00,+01:00,SCORED,13.293158,10367.689,71,165,0 days 23:49:25.902000,23.823861666666666,1269979507.0,12843267.0,2024-10-08 05:21:56.762000+00:00,2024-10-08 05:22:01.650000+00:00,SCORED,False,69.0,53.0,74.76071,93.333336,32.6,16.4893,3.0,733.7741111111111,72.0,320.4124722222222,193.0605,148.2033888888889,14.4140625
13,682700510,12843267,2024-10-07 05:10:47.930000+00:00,2024-10-08 05:22:01.890000+00:00,2024-10-06 21:32:06.981000+00:00,2024-10-07 21:54:15.644000+00:00,+01:00,SCORED,17.54962,13319.253,74,178,1 days 00:22:08.663000,24.369073055555557,1268245855.0,12843267.0,2024-10-07 05:10:47.930000+00:00,2024-10-07 05:10:53.611000+00:00,SCORED,False,86.0,52.0,79.74815,95.0,32.31333,33.0254,5.0,737.78,85.0,388.50194444444446,149.80519444444445,154.61175,13.886719
14,682007676,12843267,2024-10-06 08:41:29.610000+00:00,2024-10-07 05:10:53.069000+00:00,2024-10-05 23:31:44.034000+00:00,2024-10-06 21:32:06.981000+00:00,+01:00,SCORED,14.901459,10977.137,73,164,0 days 22:00:22.947000,22.006374166666667,1266864526.0,12843267.0,2024-10-06 08:41:29.610000+00:00,2024-10-06 08:41:34.921000+00:00,SCORED,False,86.0,53.0,80.397484,98.0,32.1,19.049799999999998,3.0,897.2025,100.0,406.1287222222222,236.32425,201.07608333333334,14.003906
15,681152605,12843267,2024-10-05 08:14:25.829000+00:00,2024-10-06 08:41:34.719000+00:00,2024-10-04 21:56:03.620000+00:00,2024-10-05 23:31:44.034000+00:00,+01:00,SCORED,11.726332,9847.509,68,165,1 days 01:35:40.414000,25.594559444444446,1265183052.0,12843267.0,2024-10-05 08:14:25.829000+00:00,2024-10-05 08:14:31.559000+00:00,SCORED,False,48.0,57.0,63.844135,96.916664,31.813334,10.9476,2.0,1020.5574166666667,100.0,512.6663888888888,208.28527777777776,233.11783333333332,14.355469
16,680168882,12843267,2024-10-04 05:21:34.570000+00:00,2024-10-05 08:14:30.947000+00:00,2024-10-03 21:35:51.642000+00:00,2024-10-04 21:56:03.620000+00:00,+01:00,SCORED,17.96341,13847.74,74,176,1 days 00:20:11.978000,24.336660555555557,1263361909.0,12843267.0,2024-10-04 05:21:34.570000+00:00,2024-10-04 05:21:40.582000+00:00,SCORED,False,70.0,51.0,76.04731,95.46429,32.793335,33.9704,4.0,754.6017222222222,81.0,347.64852777777776,161.01991666666666,213.09097222222223,14.296875
17,679411495,12843267,2024-10-03 06:30:53.603000+00:00,2024-10-04 07:28:48.888000+00:00,2024-10-02 22:34:57.974000+00:00,2024-10-03 21:35:51.642000+00:00,+01:00,SCORED,12.599615,9393.847,70,170,0 days 23:00:53.668000,23.01490777777778,1261801636.0,12843267.0,2024-10-03 06:30:53.603000+00:00,2024-10-03 06:30:59.203000+00:00,SCORED,False,62.0,54.0,72.96991,92.2,33.28661,10.4434,2.0,773.0561388888889,79.0,472.6445277777778,117.76094444444445,116.15938888888888,14.941406
18,678499224,12843267,2024-10-02 05:29:18.137000+00:00,2024-10-03 06:30:58.737000+00:00,2024-10-01 21:58:25.813000+00:00,2024-10-02 22:34:57.974000+00:00,+01:00,SCORED,14.04915,11308.757,74,167,1 days 00:36:32.161000,24.608933611111112,1260031369.0,12843267.0,2024-10-02 05:29:18.137000+00:00,2024-10-02 05:29:22.971000+00:00,SCORED,False,76.0,54.0,77.26739,94.625,32.7,17.8173,3.0,735.3762222222222,79.0,335.6326666666667,190.65994444444445,145.79941666666667,15.0
19,677710497,12843267,2024-10-01 06:20:02.398000+00:00,2024-10-02 05:29:23.261000+00:00,2024-09-30 21:38:12.688000+00:00,2024-10-01 21:58:25.813000+00:00,+01:00,SCORED,10.820819,9248.599,67,168,1 days 00:20:13.125000,24.336979166666666,1258404600.0,12843267.0,2024-10-01 06:20:02.398000+00:00,2024-10-01 06:20:07.787000+00:00,SCORED,False,93.0,53.0,83.3471,95.55556,32.18138,4.6291,1.0,855.5424722222223,89.0,442.9783611111111,214.69427777777778,142.59575,14.267578
20,676813948,12843267,2024-09-30 05:41:44.088000+00:00,2024-10-01 06:20:07.572000+00:00,2024-09-29 21:39:09.321000+00:00,2024-09-30 21:38:12.688000+00:00,+01:00,SCORED,15.091852,11547.183,73,179,0 days 23:59:03.367000,23.984268611111112,1256665011.0,12843267.0,2024-09-30 05:41:44.088000+00:00,2024-09-30 05:41:49.510000+00:00,SCORED,False,80.0,51.0,74.763664,95.416664,31.9,23.4303,4.0,789.8545277777778,82.0,386.12716666666665,252.31930555555556,108.1485,14.091797
